Tue May 28 16:50:21 2019    DUMP.txt

         18561964 function calls (18334918 primitive calls) in 10.419 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      962    0.002    0.000    0.002    0.000 _lxml.py:115(prepare_markup)
      594    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
      482    0.002    0.000    0.002    0.000 compat.py:211(add_py3_data)
      482    0.001    0.000    0.001    0.000 pathlib.py:667(_format_parsed_parts)
      481    0.001    0.000    0.001    0.000 _lxml.py:67(_register_namespaces)
     2405    0.001    0.000    0.001    0.000 inspect.py:2797(<genexpr>)
     6253    0.001    0.000    0.001    0.000 {built-in method sys.intern}
      228    0.000    0.000    0.001    0.000 porter.py:652(<lambda>)
      482    0.001    0.000    0.001    0.000 codecs.py:309(__init__)
     6266    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
      481    0.000    0.000    0.001    0.000 punkt.py:279(period_context_re)
      881    0.001    0.000    0.001    0.000 porter.py:399(nltk_condition)
     2268    0.001    0.000    0.001    0.000 element.py:994(get)
      481    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      481    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
     2589    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      481    0.001    0.000    0.001    0.000 {method 'finditer' of 're.Pattern' objects}
     1267    0.001    0.000    0.001    0.000 porter.py:209(_ends_double_consonant)
      481    0.000    0.000    0.001    0.000 <string>:1(__new__)
       20    0.001    0.000    0.001    0.000 {built-in method nt.stat}
     1928    0.001    0.000    0.001    0.000 enum.py:525(__new__)
      481    0.000    0.000    0.001    0.000 pathlib.py:657(_from_parsed_parts)
      481    0.001    0.000    0.001    0.000 _lxml.py:97(__init__)
        1    0.000    0.000    0.001    0.001 re.py:232(compile)
        1    0.000    0.000    0.001    0.001 sre_compile.py:759(compile)
      111    0.000    0.000    0.001    0.000 element.py:87(__new__)
        1    0.000    0.000    0.001    0.001 __init__.py:274(load)
      962    0.000    0.000    0.001    0.000 inspect.py:158(isfunction)
      481    0.001    0.000    0.001    0.000 _lxml.py:280(default_parser)
        1    0.000    0.000    0.001    0.001 data.py:977(_open)
     1924    0.001    0.000    0.001    0.000 pathlib.py:1001(_init)
       14    0.000    0.000    0.001    0.000 genericpath.py:16(exists)
     3848    0.000    0.000    0.000    0.000 inspect.py:2515(name)
      965    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
        1    0.000    0.000    0.000    0.000 data.py:589(find)
      481    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 sre_parse.py:919(parse)
      5/1    0.000    0.000    0.000    0.000 sre_parse.py:417(_parse_sub)
      6/1    0.000    0.000    0.000    0.000 sre_parse.py:475(_parse)
        1    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 decoder.py:332(decode)
       26    0.000    0.000    0.000    0.000 re.py:297(_compile_repl)
      481    0.000    0.000    0.000    0.000 _lxml.py:173(close)
        1    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
