Tue May 28 16:00:16 2019    DUMP.txt

         13891224 function calls (13665156 primitive calls) in 9.882 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      481    0.002    0.000    0.002    0.000 {built-in method maketrans}
     1276    0.001    0.000    0.002    0.000 sre_parse.py:1036(expand_template)
      594    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
     7229    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
      482    0.001    0.000    0.002    0.000 pathlib.py:667(_format_parsed_parts)
      482    0.002    0.000    0.002    0.000 compat.py:211(add_py3_data)
      481    0.001    0.000    0.001    0.000 _lxml.py:67(_register_namespaces)
     2405    0.001    0.000    0.001    0.000 inspect.py:2797(<genexpr>)
     6253    0.001    0.000    0.001    0.000 {built-in method sys.intern}
      482    0.001    0.000    0.001    0.000 codecs.py:309(__init__)
     6266    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
      481    0.000    0.000    0.001    0.000 punkt.py:279(period_context_re)
      481    0.001    0.000    0.001    0.000 _lxml.py:97(__init__)
     2268    0.001    0.000    0.001    0.000 element.py:994(get)
      962    0.001    0.000    0.001    0.000 _lxml.py:115(prepare_markup)
      481    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      481    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
     2589    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      481    0.001    0.000    0.001    0.000 {method 'finditer' of 're.Pattern' objects}
     1116    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      481    0.000    0.000    0.001    0.000 <string>:1(__new__)
       20    0.001    0.000    0.001    0.000 {built-in method nt.stat}
      111    0.000    0.000    0.001    0.000 element.py:87(__new__)
     1928    0.001    0.000    0.001    0.000 enum.py:525(__new__)
      481    0.000    0.000    0.001    0.000 pathlib.py:657(_from_parsed_parts)
        1    0.000    0.000    0.001    0.001 data.py:977(_open)
        1    0.000    0.000    0.001    0.001 re.py:232(compile)
     1924    0.001    0.000    0.001    0.000 pathlib.py:1001(_init)
        1    0.000    0.000    0.001    0.001 sre_compile.py:759(compile)
      962    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
      481    0.001    0.000    0.001    0.000 {method 'values' of 'mappingproxy' objects}
      481    0.001    0.000    0.001    0.000 _lxml.py:280(default_parser)
      965    0.000    0.000    0.001    0.000 ntpath.py:34(_get_bothseps)
       14    0.000    0.000    0.001    0.000 genericpath.py:16(exists)
     3848    0.001    0.000    0.001    0.000 inspect.py:2515(name)
        1    0.000    0.000    0.001    0.001 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 data.py:589(find)
        1    0.000    0.000    0.000    0.000 sre_parse.py:919(parse)
      481    0.000    0.000    0.000    0.000 _lxml.py:173(close)
      5/1    0.000    0.000    0.000    0.000 sre_parse.py:417(_parse_sub)
      6/1    0.000    0.000    0.000    0.000 sre_parse.py:475(_parse)
      482    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
     2405    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:299(loads)
       26    0.000    0.000    0.000    0.000 re.py:297(_compile_repl)
     1929    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      964    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 decoder.py:332(decode)
       26    0.000    0.000    0.000    0.000 sre_parse.py:951(parse_template)
        1    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
     1924    0.000    0.000    0.000    0.000 inspect.py:2527(kind)
     1308    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
     1924    0.000    0.000    0.000    0.000 inspect.py:2523(annotation)
