Tue May 28 15:58:58 2019    DUMP.txt

         32627279 function calls (32398228 primitive calls) in 15.310 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9602    0.004    0.000    0.005    0.000 porter.py:209(_ends_double_consonant)
     5380    0.003    0.000    0.005    0.000 element.py:1065(__eq__)
      481    0.000    0.000    0.005    0.000 pathlib.py:891(__truediv__)
      482    0.001    0.000    0.005    0.000 pathlib.py:694(__fspath__)
      481    0.001    0.000    0.005    0.000 pathlib.py:678(_make_child)
      483    0.002    0.000    0.005    0.000 ntpath.py:450(normpath)
        1    0.004    0.004    0.004    0.004 {built-in method _pickle.load}
      481    0.003    0.000    0.004    0.000 inspect.py:2748(__init__)
     1450    0.003    0.000    0.004    0.000 ntpath.py:122(splitdrive)
      142    0.000    0.000    0.004    0.000 _lxml.py:247(pi)
      481    0.003    0.000    0.004    0.000 __init__.py:42(lookup)
      482    0.002    0.000    0.004    0.000 pathlib.py:684(__str__)
      483    0.001    0.000    0.004    0.000 re.py:180(search)
     4329    0.003    0.000    0.003    0.000 pathlib.py:135(splitroot)
      481    0.001    0.000    0.003    0.000 _lxml.py:60(initialize_soup)
     1725    0.003    0.000    0.003    0.000 element.py:984(index)
      483    0.002    0.000    0.003    0.000 data.py:139(split_resource_url)
     1276    0.001    0.000    0.003    0.000 re.py:313(filter)
      315    0.001    0.000    0.002    0.000 element.py:798(for_name_and_ids)
     2685    0.002    0.000    0.002    0.000 element.py:351(_last_descendant)
     1928    0.002    0.000    0.002    0.000 enum.py:283(__call__)
      485    0.001    0.000    0.002    0.000 re.py:271(_compile)
     7229    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
      481    0.002    0.000    0.002    0.000 {built-in method maketrans}
     1113    0.002    0.000    0.002    0.000 element.py:1614(__init__)
     1276    0.001    0.000    0.002    0.000 sre_parse.py:1036(expand_template)
      594    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
      482    0.001    0.000    0.002    0.000 pathlib.py:667(_format_parsed_parts)
      482    0.001    0.000    0.001    0.000 compat.py:211(add_py3_data)
     6253    0.001    0.000    0.001    0.000 {built-in method sys.intern}
      481    0.001    0.000    0.001    0.000 _lxml.py:67(_register_namespaces)
     2405    0.001    0.000    0.001    0.000 inspect.py:2797(<genexpr>)
      482    0.001    0.000    0.001    0.000 codecs.py:309(__init__)
     6266    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
      481    0.000    0.000    0.001    0.000 punkt.py:279(period_context_re)
     2268    0.001    0.000    0.001    0.000 element.py:994(get)
      962    0.001    0.000    0.001    0.000 _lxml.py:115(prepare_markup)
      180    0.000    0.000    0.001    0.000 porter.py:508(<lambda>)
      481    0.001    0.000    0.001    0.000 _lxml.py:97(__init__)
      481    0.001    0.000    0.001    0.000 {method 'finditer' of 're.Pattern' objects}
      481    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
     2589    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      481    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      111    0.000    0.000    0.001    0.000 element.py:87(__new__)
      481    0.000    0.000    0.001    0.000 <string>:1(__new__)
       20    0.001    0.000    0.001    0.000 {built-in method nt.stat}
     1928    0.001    0.000    0.001    0.000 enum.py:525(__new__)
      481    0.000    0.000    0.001    0.000 pathlib.py:657(_from_parsed_parts)
       26    0.000    0.000    0.001    0.000 re.py:297(_compile_repl)
        1    0.000    0.000    0.001    0.001 re.py:232(compile)
     1924    0.001    0.000    0.001    0.000 pathlib.py:1001(_init)
        1    0.000    0.000    0.001    0.001 sre_compile.py:759(compile)
       26    0.000    0.000    0.001    0.000 sre_parse.py:951(parse_template)
      962    0.000    0.000    0.001    0.000 inspect.py:158(isfunction)
      481    0.001    0.000    0.001    0.000 _lxml.py:280(default_parser)
        1    0.000    0.000    0.001    0.001 data.py:977(_open)
      481    0.001    0.000    0.001    0.000 {method 'values' of 'mappingproxy' objects}
       14    0.000    0.000    0.001    0.000 genericpath.py:16(exists)
     3848    0.001    0.000    0.001    0.000 inspect.py:2515(name)
      965    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
        1    0.000    0.000    0.000    0.000 sre_parse.py:919(parse)
        1    0.000    0.000    0.000    0.000 data.py:589(find)
      5/1    0.000    0.000    0.000    0.000 sre_parse.py:417(_parse_sub)
      6/1    0.000    0.000    0.000    0.000 sre_parse.py:475(_parse)
        1    0.000    0.000    0.000    0.000 __init__.py:274(load)
     2405    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
      481    0.000    0.000    0.000    0.000 _lxml.py:173(close)
      482    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
     1162    0.000    0.000    0.000    0.000 porter.py:377(<lambda>)
     1929    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      964    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      481    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
      415    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.000    0.000 __init__.py:299(loads)
     1308    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 decoder.py:332(decode)
     2405    0.000    0.000    0.000    0.000 inspect.py:2519(default)
     1924    0.000    0.000    0.000    0.000 inspect.py:2527(kind)
        1    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
     1924    0.000    0.000    0.000    0.000 inspect.py:2523(annotation)
      481    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
      481    0.000    0.000    0.000    0.000 __init__.py:105(initialize_soup)
      962    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      962    0.000    0.000    0.000    0.000 __init__.py:111(reset)
      962    0.000    0.000    0.000    0.000 __init__.py:160(deprecated_argument)
        5    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
      481    0.000    0.000    0.000    0.000 pathlib.py:91(join_parsed_parts)
